original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The couple lives an invincible stalking through the long grass.,41.79,google/gemma-2-27b-it
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,The astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,90.86,google/gemma-2-27b-it
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,The journey of life is a delicate balance for peace.,65.86,google/gemma-2-27b-it
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,An astronaut discovered a habitable planet in a distant nebula.,80.57,google/gemma-2-27b-it
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。","Her dream, vivid colors create an endless fantastic world.",66.79,google/gemma-2-27b-it
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,The referee carefully checked the disputed football match length in feet.,76.46,google/gemma-2-27b-it
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows crept silently into the abandoned asylum corridors.,90.23,google/gemma-2-27b-it
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,The smell of freshly brewed coffee filled her small apartment.,93.81,google/gemma-2-27b-it
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with a rainbow colored butterfly wings.",91.53,google/gemma-2-27b-it
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,This colorful parrot quietly belongs to its owner.,65.43,google/gemma-2-27b-it
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,UM lonely curry appears from the foggy forest shadows.,55.38,google/gemma-2-27b-it
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.","Mystic creatures collected under the ancient, light-filled monster Eden.",59.03,google/gemma-2-27b-it
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,Local artisans preserve ancient traditions in the countryside of Nepal.,83.66,google/gemma-2-27b-it
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen flickered after completing the dark.,72.15,google/gemma-2-27b-it
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,The ancient wise man walked alone in the deep silence tonight.,85.0,google/gemma-2-27b-it
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,The detective finally cracked the cryptic code and the house was abandoned.,55.81,google/gemma-2-27b-it
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,A herd of large birds made a blinding airship silhouette.,69.67,google/gemma-2-27b-it
The painter's bold brushstrokes echoed Mozart's harmonious symphonic melodies perfectly.,De malerens pogrubiony penselstrøg 回响 του Μότσαρτ hài hòa sinfónico ท่วงทำนอง 아주.,The painter's heavy brushstroke echoes the harmonious symphony of Mozart's melody very much.,76.23,google/gemma-2-27b-it
Summer's warmth slowly gave way to autumn's golden breeze.,夏の kemesraan lentement נתן Weg Do dell'autunno 황금의 สายลม,Summer's serene slowly gave way to autumn's golden breeze.,84.47,google/gemma-2-27b-it
The chess player sacrificed her queen for strategic advantage.,The catur Spieler poświęcony उसकी βασίλισσα for استراتيجي vantaggio.,The cat player dedicated his queen for strategic advantage.,65.56,google/gemma-2-27b-it
The smartphone's battery life lasted only one full day.,De 스마트폰의 bateri liv длился hanya one full dia.,The battery of the smartphone lasted only one full day.,88.28,google/gemma-2-27b-it
Alien spacecraft silently navigated through the uncharted cosmic nebula.,Alien statek kosmiczny tyst navigué durch 그만큼 незвіданий קוֹסמִי nebulosa.,Alien spaceships quietly navigated through the unknown cosmic nebula.,88.9,google/gemma-2-27b-it
The chess champion sacrificed her royal title for freedom.,The หมากรุก juara sacrificato son kongelig タイトル para özgürlük.,The chess champion sacrificed his royal title for freedom.,88.84,google/gemma-2-27b-it
The basketball team won the championship without any overtime.,các Basketball hold won itu campeonato без どれでも col tempo.,Some basketball players won that championship without any time.,66.18,google/gemma-2-27b-it
Quantum physics predicted unpredictable outcomes from unstable wormholes.,Quântico ฟิสิกส์ ennustettu अप्रत्याशित результати aus нестабильный maskhål.,Quantum physics predicted unexpected results from an unstable black hole.,74.42,google/gemma-2-27b-it
Her morning coffee fueled her chaotic busy schedule perfectly.,Jej Pagi kahvia เชื้อเพลิง 그녀의 hỗn loạn busy takvim dokonale.,Her mornings fueled by coffee are chaotic but perfectly scheduled.,41.48,google/gemma-2-27b-it
The majestic elk roamed freely in its mountain habitat.,El מַלכּוּתִי elan wędrował frei dans isso é bjerg प्राकृतिक वास।,The Royal vigor walked free in this is mountain natural habitat.,45.53,google/gemma-2-27b-it
The smartphone's advanced AI began secretly controlling my life.,O smartfona 고급의 Όλα συμπεριλαμβάνονται शुरू किया bí mật контролюючий 我的 ชีวิต.,"My smartphone started the all-inclusive, high-class secret control of my life.",54.12,google/gemma-2-27b-it
Astronauts discovered new galaxies while exploring distant cosmic neighborhoods.,Phi hành gia opdaget yeni galaktyki sementara εξερευνώντας entfernt kozmický 近所。,An astronaut discovers a new galaxy while exploring a distant cosmic neighborhood.,80.96,google/gemma-2-27b-it
The vibrant souk filled the air with exotic spices suddenly., vibrerande souk भरा हुआ a อากาศ з exotic rempah ratus All'improvviso.,The vibrant market full of exotic air spices suddenly.,64.73,google/gemma-2-27b-it
"Through hidden temples, archaeologists uncovered ancient golden relics.","בְּאֶמצָעוּת skjult kuil, arqueólogos terbongkar عتيق золотий реликвии.","Using a hidden well, archaeologists unearthed an ancient gold relic.",71.35,google/gemma-2-27b-it
The universe unfolds its mysteries in silence slowly.,The univers rozwija się suo záhady i stilte devagar.,The universe develops itself against wishes and stands still slowly.,41.36,google/gemma-2-27b-it
The champion skateboarder performed a flawless triple axel trick.,De 챔피언 kaykaycı प्रदर्शन किया ある ไร้ที่ติ потрійний אקסל menipu.,The champion kayaker performed a flawless triple axle maneuver.,78.54,google/gemma-2-27b-it
Snowflakes gently fell on the frozen winter landscape.,Fulgi de nea بلطف caiu SU  beku vinter ภูมิประเทศ.,Snowflakes of snow gently fell on his frozen winter landscape.,83.82,google/gemma-2-27b-it
Mystical warriors wielded ancient swords beneath starry midnight skies.,Mistik guerreros käyttivät 古代 thanh kiếm altında เต็มไปด้วยดวงดาว minuit שמיים.,Mystic warriors used ancient swords under a sky full of stars at midnight.,80.6,google/gemma-2-27b-it
Vibrant wildflowers bloomed rapidly beneath the morning sunbeams.,Яскравий vilda blommor mekar rapidement أسفل de 朝 แสงแดด,Bright wildflowers bloom quickly below the morning sun,80.89,google/gemma-2-27b-it
Artificial intelligence processed vast amounts of human data daily.,Kunstig intelligence zpracováno vaste määriä de manusia dane יוֹמִי.,Artificial intelligence processes vast amounts of human data daily.,95.01,google/gemma-2-27b-it
