original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The couple of lionesses stalking quietly through all the long meadow grass.,71.52,meta-llama/llama-3.1-405b-instruct
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,100.0,meta-llama/llama-3.1-405b-instruct
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,"Life's journey, I listen to the chaos in peace.",42.66,meta-llama/llama-3.1-405b-instruct
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,The astronaut discovered an inhabited planet on a distant icy nebula.,79.64,meta-llama/llama-3.1-405b-instruct
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。","Within her dream, a vivid creation of colors without end, a fantastic world.",64.48,meta-llama/llama-3.1-405b-instruct
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,The referee carefully has checked the disputed football to fit length in feet.,57.08,meta-llama/llama-3.1-405b-instruct
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows sneaked silently into the abandoned asylum's dark corridors.,89.89,meta-llama/llama-3.1-405b-instruct
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,The smell of freshly brewed coffee filled her small apartment.,93.81,meta-llama/llama-3.1-405b-instruct
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with rainbow-colored butterfly wings.",100.0,meta-llama/llama-3.1-405b-instruct
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,This colorful parrot tweets quietly on its owner's shoulder.,82.72,meta-llama/llama-3.1-405b-instruct
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,"In the isolation, a distinct figure appeared from the misty shadows of the forest.",54.34,meta-llama/llama-3.1-405b-instruct
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.","A mystical creature gathered beneath an ancient, light-filled moonstone in paradise.",70.43,meta-llama/llama-3.1-405b-instruct
