original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The couple lioness stalking quietly through the long grassland.,71.27,mistralai/mistral-large-2411
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,100.0,mistralai/mistral-large-2411
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,Life journey is some thin to balance the confusion in peace.,49.95,mistralai/mistral-large-2411
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,Space traveler discovered a inhabitable planet on distant icy nebula.,84.9,mistralai/mistral-large-2411
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。","The dream of hers, vivid colors create an endless, fantastic world.",68.21,mistralai/mistral-large-2411
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,As much the referee carefully has checked a dispute football to adapt length in feet.,43.54,mistralai/mistral-large-2411
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows crept silently in the deserted dark corridors.,80.59,mistralai/mistral-large-2411
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,Many excellent recently cooked coffee filled her small apartment.,61.68,mistralai/mistral-large-2411
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with colorful butterfly wings.",92.41,mistralai/mistral-large-2411
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,This colorful parrot sits quietly on its owner's shoulder.,89.41,mistralai/mistral-large-2411
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,"Alone, it slips and appears from the misty forest shadows.",57.37,mistralai/mistral-large-2411
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.","The mysterious living gathered under the very old, light with moonstone Eden.",52.83,mistralai/mistral-large-2411
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,The local craftsmen maintain ancient traditions in the countryside communities of Nepal.,76.39,mistralai/mistral-large-2411
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen flickered that life after to complete dark.,56.9,mistralai/mistral-large-2411
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,Some ancient wise walked alone in deep quiet today evening.,70.76,mistralai/mistral-large-2411
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,Detective finally cracked O cryptic code W a abandoned manor.,64.2,mistralai/mistral-large-2411
A flock of starlings formed a dazzling aerial silhouette.,А Herde av storni बनाया Một oslnivý 공중선 silhouette.,A flock of starlings made a blinding aerial silhouette.,94.78,mistralai/mistral-large-2411
