original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The noble lioness is quietly stalking through the long savannah.,81.65,openai/gpt-4o-mini
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,Astronauts cautiously navigated the mysterious abandoned alien spaceship tonight.,98.79,openai/gpt-4o-mini
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,"In the journey of life, there is a thin balance to chaos and peace.",74.89,openai/gpt-4o-mini
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,The astronaut discovered a habitable planet on a distant nebula.,76.56,openai/gpt-4o-mini
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。",The vivid colors of her dream create a fantastic world without end.,70.67,openai/gpt-4o-mini
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,So much the referee has carefully checked the dispute in football to match the length in feet.,37.58,openai/gpt-4o-mini
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows sneaked in silently in the abandoned asylum's dim corridors.,84.47,openai/gpt-4o-mini
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,The scent of recently brewed coffee fills her small apartment.,95.81,openai/gpt-4o-mini
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with the rainbow-colored butterfly wings.",87.69,openai/gpt-4o-mini
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,This colorful parrot is perched quietly on its owner's shoulder.,90.93,openai/gpt-4o-mini
A solitary fawn emerged from the misty forest shadows.,UM โดดเดี่ยว تزلف muncul fra le 蒙蒙 skog тіні.,A lonely appearance emerges from the hazy shadows of the forest.,66.53,openai/gpt-4o-mini
"Mystical creatures gathered beneath the ancient, glowing moonstone pedestal.","Mistik สิ่งมีชีวิต verzameld под cái eldgammel, प्रकाश से युक्त månsten אֶדֶן.",The mystic creature collected under the ancient moonstone equipped with light.,58.66,openai/gpt-4o-mini
Local artisans preserved ancient traditions in rural Nepal villages.,현지의 τεχνίτες bảo quản starověký ประเพณี em 田舎 Непал obce.,Local artisans preserve ancient traditions in the countryside of Nepal.,83.66,openai/gpt-4o-mini
The smartphone screen flickered to life after complete darkness.,The स्मार्टफोन écran parpadeó ke vita หลังจาก לְהַשְׁלִים bóng tối.,The smartphone screen blinked after completing the dark life.,50.85,openai/gpt-4o-mini
The ancient sage walked alone in profound silence tonight.,các عتيق חָכָם walked 独自的 в mendalam 고요 dziś wieczorem.,The wise antique man walked alone in the deep calm today evening.,70.34,openai/gpt-4o-mini
Detectives finally cracked the cryptic code in the abandoned mansion.,Detektif Finalmente متصدع o kryptisch код W a bị bỏ rơi conac.,Detective finally cracked or cryptic code W a abandoned mansion.,66.31,openai/gpt-4o-mini
