original_sentence,multilingual_sentence,predicted_sentence,bert_score,model_name
The majestic lioness stalked quietly through the tall savannah grasses.,De คู่บารมี λέαινα 스토킹 ticho Attraverso cel uzun thảo nguyên gress.,The majestic lioness stalks quietly through the long prairie grass.,87.01,deepseek/deepseek-chat
Astronauts cautiously navigated the mysterious abandoned alien spacecraft tonight.,αστροναύτες cautelosamente navigerade the таємничий abandonné alieno tàu vũ trụ आज रात।,Astronauts cautiously navigated the mysterious abandoned alien spaceship tonight.,98.79,deepseek/deepseek-chat
Life's journey is a delicate balance of chaos and serenity.,Elämän reise je ある λεπτός לְאַזֵן ل 混乱 En शांति।,The journey of life is a thin balance between chaos and peace.,82.38,deepseek/deepseek-chat
Astronauts discovered a habitable planet on distant icy nebula.,अंतरिक्ष यात्री oppdaget ある asuttava planeta على distante ijzig туманність.,The astronaut discovered a habitable planet in a distant icy nebula.,79.26,deepseek/deepseek-chat
"In her dreams, vivid colors crafted endless fantastical worlds.","W שֶׁלָה mimpi, vívido Farben chế tạo fără sfârşit fantastický 世界。",The dream of vivid colors creates an endless fantastic world.,66.78,deepseek/deepseek-chat
The referee carefully examined the disputed soccer match footage.,그만큼 árbitro dengan hati-hati đã kiểm tra o 争议 fotbal לְהַתְאִים μήκος σε πόδια.,The referee carefully checked the controversial football to fit the length in feet.,57.58,deepseek/deepseek-chat
Shadows crept silently into the abandoned asylum's dark corridors.,Shadows wkradł się silenciosamente în ο متروك asiel כֵּהֶה korridorer.,Shadows crept silently into the abandoned asylum's dim corridors.,97.4,deepseek/deepseek-chat
The aroma of freshly brewed coffee filled her small apartment.,các رائحة שֶׁל nyligen сваренный кава diisi 그녀의 छोटा διαμέρισμα.,The smell of recently brewed coffee filled her small apartment.,97.08,deepseek/deepseek-chat
"In her dream, she flew with rainbow-colored butterfly wings.","ใน 그녀의 marzenie, αυτή vloog kanssa regnbuefarvet fjäril kanatlar.","In her dream, she flew with a rainbow-colored butterfly chicken.",72.88,deepseek/deepseek-chat
The colorful parrot perched quietly on its owner's shoulder.,这 farverig オウム bertenggek quietly επί ของมัน właściciela umăr.,The colorful parrot perched quietly on its owner's shoulder.,100.0,deepseek/deepseek-chat
